Random,Machine_nbr,lifetime,pressureInd,moistureInd,temperatureInd,team,provider,broken
0.437419913,723,60,77.83610485,112.8325443,121.7863711,3,3,Yes
0.688344646,107,88,89.35061975,95.22812545,99.08231665,1,4,Yes
0.805669756,153,30,130.0894769,96.36774655,103.6083438,1,3,No
0.923186705,140,79,87.42199024,110.9415742,129.6915102,2,1,Yes
0.036582505,359,2,69.93989757,86.29238721,91.86198316,3,3,No
0.716907389,10,81,97.50182643,92.22803866,80.80015925,3,4,Yes
0.264124107,20,11,166.7858975,97.24421296,89.58568737,2,2,No
0.650042735,542,62,94.41582296,95.0731171,107.6967466,3,2,No
0.636111948,156,27,102.6766575,88.96320258,102.9798574,3,4,No
0.923186705,140,79,87.42199024,110.9415742,129.6915102,2,1,
0.906825438,324,52,93.09981147,103.4661907,71.49777571,2,3,No
0.575801777,453,41,93.7971681,92.23087548,117.8775732,1,2,No
0.046901975,301,80,104.3627063,88.17677958,80.27367989,2,1,Yes
0.09713066,87,77,113.0908777,109.3698093,95.60612507,1,4,No
0.507772902,128,65,86.36611059,92.56197159,96.66794972,1,3,Yes
0.599168333,327,88,99.20956467,102.7426686,76.15820848,2,4,Yes
0.647132194,789,82,96.84048235,117.8289515,73.47330364,3,4,Yes
0.575834576,184,14,90.57959798,96.70531603,136.1321316,1,2,No
0.205485283,436,46,94.23091985,107.9583453,110.6577848,3,2,No
0.793356445,907,65,86.49978354,,92.64598661,2,3,Yes
0.398613874,332,74,82.87927937,99.50867566,84.82289168,3,1,Yes
0.079509946,784,61,137.1074186,89.75347336,83.12919201,1,1,No
0.208311006,744,65,111.9591844,117.9394084,98.52943386,1,3,Yes
0.793356445,907,65,86.49978354,86.63641816,92.64598661,2,3,Yes
0.609403632,6,60,89.23363155,96.99857983,124.484758,3,3,Yes
0.713725756,421,65,57.19314091,102.1576218,106.4484335,2,3,Yes
0.400468626,81,16,90.63682861,101.8016105,130.0559851,2,4,No
0.2487503,404,72,105.0034653,113.9079658,92.92996339,1,2,No
0.281803903,678,22,89.22954094,114.8303256,117.8925563,2,1,No
0.208998077,350,41,,81.57661877,127.5978295,3,2,No
0.643276347,217,93,93.66493104,114.6482201,104.0389086,2,2,Yes
0.131681904,490,79,108.8375233,94.49523742,120.4209254,2,1,Yes
0.606913798,318,86,94.40646126,108.4936078,72.02537441,3,2,Yes
0.039574422,76,18,105.6715844,114.5880459,120.043249,3,2,No
0.208998077,350,41,61.94270337,81.57661877,127.5978295,3,2,No
0.593787865,690,11,94.60611059,113.9721223,68.8084124,3,1,No
0.041405921,695,56,112.4511083,94.6896782,62.71681205,1,2,No
0.631214933,111,63,90.16256001,91.43521609,110.7019087,1,2,No
0.660649753,25,12,104.4622671,100.0798604,78.32082733,3,2,No
0.524967469,608,44,124.3589233,97.19907991,46.85704695,1,3,No
0.215648456,750,88,84.17942039,114.0740657,83.62744989,2,4,Yes
0.038161822,753,10,114.6843238,112.8651383,76.55626608,1,3,No
0.773610007,5,86,85.54546864,103.5603805,95.46044467,3,2,Yes
0.358015448,579,68,118.0070529,84.5964103,109.636018,1,2,No
0.932723167,949,74,82.89800458,89.93110271,77.27328413,3,1,Yes
0.46630192,368,65,107.2584217,108.2827754,93.91395318,2,3,Yes
0.577993851,707,93,96.00625928,91.51747606,95.30945357,1,2,Yes
0.990141694,221,30,106.8312633,101.2135811,79.91117353,1,3,No
0.936691967,737,47,97.56399942,97.82876698,79.98840239,1,1,No
0.333838754,73,93,87.73855425,100.0435914,,1,3,No
0.280669627,939,60,89.95337574,88.1673482,116.5434247,3,3,Yes
0.256223777,697,4,85.29060065,73.29862984,108.4834019,3,2,No
0.881304229,362,74,109.8195707,90.71151167,66.85327645,3,1,Yes
0.231975198,938,44,98.4683561,100.2308122,117.3528031,2,2,No
0.591084091,386,80,133.7792866,103.1399645,104.1215429,1,1,Yes
0.942917337,866,39,87.39284133,106.1662339,84.52171258,2,4,No
0.333838754,73,93,87.73855425,100.0435914,104.753569,1,2,Yes
0.600389602,243,39,99.94713693,88.07971633,100.8153492,1,3,No
0.011242163,638,93,129.5853061,93.69210818,84.91572472,1,2,Yes
0.908286155,45,65,58.16388876,83.21343527,84.04405964,2,3,Yes
0.41756162,430,58,96.57340584,108.5498769,112.9562364,2,4,No
0.84296016,161,80,109.2796161,102.9387744,113.5224963,1,1,Yes
0.48734499,568,12,53.45018161,79.64982916,103.6298501,1,1,No
0.82894363,431,80,110.0800055,96.84071815,100.8559716,1,1,Yes
0.62813891,857,16,82.61100175,113.1563812,130.5451632,2,1,No
0.402479939,529,16,122.4142712,104.5029136,73.54281829,3,4,No
0.118431283,465,72,49.60538555,94.56565418,81.18539743,3,1,No
0.807606729,396,72,,102.4185949,97.14373123,2,2,No
0.481607012,299,80,86.43068027,104.6939431,86.39617998,2,4,No
0.441913884,98,54,91.63775968,116.7340858,125.5531059,3,4,No
0.614233317,558,42,89.50688382,94.37580023,99.81819568,2,1,No
0.991227251,941,83,100.2848608,102.4336216,106.1875516,1,4,No
0.655029567,758,62,105.6359631,92.74172011,98.90734463,3,2,No
0.807606729,396,72,85.56228351,102.4185949,97.14373123,2,2,No
0.513680735,298,38,105.8495106,120.822109,102.8293459,3,4,No
0.137607592,722,1,72.42312878,120.4841552,116.4004334,2,2,No
0.046375768,247,85,92.68039619,103.8757566,121.4210197,3,2,Yes
0.300260152,209,46,90.14957518,108.5000483,82.37295228,2,1,No
0.714120954,757,92,81.37314584,91.70991941,131.4217169,2,2,Yes
0.343785112,305,81,91.11156321,103.1377918,99.68259133,3,4,Yes
0.799807792,525,86,129.0020995,93.13240058,84.84584223,3,2,Yes
0.204760271,616,62,114.142562,97.90547112,165.1699551,3,1,No
0.020844258,494,93,81.28916813,105.8568185,80.75742109,2,2,Yes
0.363669222,851,8,71.98632777,91.96023876,109.951768,2,4,No
0.995048024,41,65,90.944893,92.3535606,140.6030213,2,3,Yes
0.460070919,548,65,95.28030654,105.6102415,104.2267675,2,3,Yes
0.842946957,872,65,108.1568179,102.231344,83.4708124,1,3,Yes
0.076136348,794,41,112.7364301,92.37349843,85.48980065,3,1,No
0.879161237,491,88,110.0090321,111.6681873,108.5662,1,4,Yes
0.054840465,425,18,119.204381,111.7721561,84.24208522,3,1,No
